id,name,price,type,nation,image,image2,image3,image4,image5,shortDescription,description,bullets,washingInstructions,colors,sizeNote,category,keywords,status
krd 1,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/1.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,30 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 2,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/2.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,31 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 3,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/3.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,32 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 4,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/4.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,33 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 5,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/5.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,34 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 6,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/6.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,35 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 7,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/7.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,36 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 8,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/8.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,37 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 9,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/9.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,38 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 10,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/10.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,39 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 11,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/11.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,40 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 12,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/12.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,41 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 13,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/13.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,42 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
krd 14,Kurdistan Retro,24.90,shirt,krd,cozastore-master/images\krd/14.png,,,,,Das klassische gelbe Retro-Shirt aus Brasilien,Hol dir das originale Gefühl vom Zuckerhut nach Hause. Retro-Design in höchster Qualität.,100% Baumwolle|Klassischer Schnitt|Retro Logo,43 Grad waschen,Schwarz|Weiß|Rot|Blau,Fällt normal aus,Trikots,Brasilien,active
